scenario,year,climate_disasters
Historical,1961,16
Historical,1962,18
Historical,1963,27
Historical,1964,46
Historical,1965,42
Historical,1966,49
Historical,1967,51
Historical,1968,51
Historical,1969,57
Historical,1970,50
Historical,1971,43
Historical,1972,34
Historical,1973,46
Historical,1974,46
Historical,1975,34
Historical,1976,51
Historical,1977,100
Historical,1978,108
Historical,1979,71
Historical,1980,102
Historical,1981,98
Historical,1982,107
Historical,1983,127
Historical,1984,110
Historical,1985,129
Historical,1986,126
Historical,1987,165
Historical,1988,184
Historical,1989,124
Historical,1990,223
Historical,1991,202
Historical,1992,178
Historical,1993,195
Historical,1994,200
Historical,1995,211
Historical,1996,218
Historical,1997,267
Historical,1998,283
Historical,1999,331
Historical,2000,442
Historical,2001,359
Historical,2002,432
Historical,2003,307
Historical,2004,293
Historical,2005,413
Historical,2006,365
Historical,2007,385
Historical,2008,324
Historical,2009,315
Historical,2010,352
Historical,2011,288
Historical,2012,310
Historical,2013,293
Historical,2014,282
Historical,2015,325
Historical,2016,280
Historical,2017,292
Historical,2018,278
Historical,2019,364
Historical,2020,344
Historical,2021,371
Historical,2022,335
SSP1,2023,289.284931182861
SSP2,2023,288.654648423195
SSP3,2023,290.509129822254
SSP5,2023,290.3470236063
SSP1,2024,290.935401201248
SSP2,2024,290.162515044212
SSP3,2024,292.947563171387
SSP5,2024,292.673008799553
SSP1,2025,292.42468380928
SSP2,2025,291.522348999977
SSP3,2025,295.247139930725
SSP5,2025,294.973606705666
SSP1,2026,293.959605455399
SSP2,2026,292.800942003727
SSP3,2026,297.216665804386
SSP5,2026,297.362972378731
SSP1,2027,296.015107750893
SSP2,2027,294.334522128105
SSP3,2027,299.03937792778
SSP5,2027,300.064450621605
SSP1,2028,299.106007754803
SSP2,2028,296.464975655079
SSP3,2028,301.095246434212
SSP5,2028,303.491619408131
SSP1,2029,302.323837816715
SSP2,2029,298.76851350069
SSP3,2029,303.634719133377
SSP5,2029,306.392255961895
SSP1,2030,305.903566002846
SSP2,2030,301.709375500679
SSP3,2030,307.028519511223
SSP5,2030,309.700080156326
SSP1,2031,309.816764593124
SSP2,2031,305.204491436482
SSP3,2031,310.99712407589
SSP5,2031,313.49988847971
SSP1,2032,314.161335170269
SSP2,2032,309.270725607872
SSP3,2032,315.584175348282
SSP5,2032,317.850547432899
SSP1,2033,318.987178623676
SSP2,2033,313.897790133953
SSP3,2033,320.703248739243
SSP5,2033,322.559605836868
SSP1,2034,323.234545886517
SSP2,2034,318.426102757454
SSP3,2034,326.098123669624
SSP5,2034,327.641039550304
SSP1,2035,327.285463035107
SSP2,2035,323.078535199165
SSP3,2035,331.230626881123
SSP5,2035,331.969550132752
SSP1,2036,330.658511638641
SSP2,2036,327.396182954311
SSP3,2036,335.906113266945
SSP5,2036,336.143895089626
SSP1,2037,333.449946701527
SSP2,2037,331.581841826439
SSP3,2037,340.128756940365
SSP5,2037,339.625327587128
SSP1,2038,336.196176469326
SSP2,2038,335.133279025555
SSP3,2038,343.909261882305
SSP5,2038,342.676382362843
SSP1,2039,338.804015338421
SSP2,2039,338.118415117264
SSP3,2039,347.222279369831
SSP5,2039,345.599265277386
SSP1,2040,341.342614650726
SSP2,2040,341.067476153374
SSP3,2040,350.441672682762
SSP5,2040,348.464751303196
SSP1,2041,343.794505238533
SSP2,2041,344.739586532116
SSP3,2041,354.033070087433
SSP5,2041,353.165510416031
SSP1,2042,346.285348773003
SSP2,2042,348.186874508858
SSP3,2042,357.388855934143
SSP5,2042,357.822331726551
SSP1,2043,348.777249872685
SSP2,2043,351.575682282448
SSP3,2043,360.623054206371
SSP5,2043,362.520408570766
SSP1,2044,351.239106297493
SSP2,2044,354.958790659905
SSP3,2044,363.814432859421
SSP5,2044,367.331043303013
SSP1,2045,353.672603726387
SSP2,2045,358.358081221581
SSP3,2045,367.059637784958
SSP5,2045,372.26376926899
SSP1,2046,356.138521790504
SSP2,2046,361.804782807827
SSP3,2046,370.39433658123
SSP5,2046,377.362024188042
SSP1,2047,358.634203493595
SSP2,2047,365.280558228493
SSP3,2047,373.898647904396
SSP5,2047,382.679147720337
SSP1,2048,361.189668774605
SSP2,2048,368.786861896515
SSP3,2048,377.523264527321
SSP5,2048,388.277325987816
SSP1,2049,363.847165703774
SSP2,2049,372.383915543556
SSP3,2049,381.209116518497
SSP5,2049,394.184330880642
SSP1,2050,366.608535766602
SSP2,2050,376.138781070709
SSP3,2050,385.101934969425
SSP5,2050,400.297986268997
SSP1,2051,369.444995284081
SSP2,2051,380.034132003784
SSP3,2051,389.237035930157
SSP5,2051,406.654212832451
SSP1,2052,372.344058036804
SSP2,2052,384.077819108963
SSP3,2052,393.55518424511
SSP5,2052,413.276299953461
SSP1,2053,375.281882286072
SSP2,2053,388.227336764336
SSP3,2053,398.100298881531
SSP5,2053,420.12234300375
SSP1,2054,378.265158593655
SSP2,2054,392.449998676777
SSP3,2054,402.790791094303
SSP5,2054,427.093503594399
SSP1,2055,381.317951798439
SSP2,2055,396.772679924965
SSP3,2055,407.632402658463
SSP5,2055,434.165888905525
SSP1,2056,384.435794830322
SSP2,2056,401.171656489372
SSP3,2056,412.593512654305
SSP5,2056,441.305460035801
SSP1,2057,387.638538122177
SSP2,2057,405.714872479439
SSP3,2057,417.686117053032
SSP5,2057,448.51091581583
SSP1,2058,390.865646541119
SSP2,2058,410.313476383686
SSP3,2058,422.811246812344
SSP5,2058,455.697290182114
SSP1,2059,394.197432339191
SSP2,2059,414.945376515388
SSP3,2059,427.973699212074
SSP5,2059,462.816365003586
SSP1,2060,397.592230558395
SSP2,2060,419.59198987484
SSP3,2060,433.18643540144
SSP5,2060,469.996411621571
SSP1,2061,398.860734045506
SSP2,2061,422.9120054245
SSP3,2061,439.492918372154
SSP5,2061,478.456222057343
SSP1,2062,400.120771706104
SSP2,2062,426.246288776398
SSP3,2062,445.997182548046
SSP5,2062,487.065532684326
SSP1,2063,401.381716191769
SSP2,2063,429.604773640633
SSP3,2063,452.603036701679
SSP5,2063,495.505679368973
SSP1,2064,402.663893759251
SSP2,2064,432.999556541443
SSP3,2064,459.202418804169
SSP5,2064,503.975973844528
SSP1,2065,403.95493376255
SSP2,2065,436.446905076504
SSP3,2065,465.816089808941
SSP5,2065,512.668569386005
SSP1,2066,405.225350439549
SSP2,2066,439.981656253338
SSP3,2066,472.525479674339
SSP5,2066,521.54545712471
SSP1,2067,406.481921732426
SSP2,2067,443.504241347313
SSP3,2067,479.246596932411
SSP5,2067,530.456441342831
SSP1,2068,407.710950732231
SSP2,2068,447.098338842392
SSP3,2068,485.89343726635
SSP5,2068,539.197852313519
SSP1,2069,408.938759148121
SSP2,2069,450.776525735855
SSP3,2069,492.64273929596
SSP5,2069,547.617310345173
SSP1,2070,410.166705489159
SSP2,2070,454.57004660368
SSP3,2070,499.360525488854
SSP5,2070,555.75337934494
SSP1,2071,411.395772755146
SSP2,2071,458.448153972626
SSP3,2071,506.173952698708
SSP5,2071,563.708682835102
SSP1,2072,412.631029248238
SSP2,2072,462.463905453682
SSP3,2072,512.995640993118
SSP5,2072,571.747985363007
SSP1,2073,413.872943878174
SSP2,2073,466.612502336502
SSP3,2073,519.838739693165
SSP5,2073,579.649332821369
SSP1,2074,415.120089650154
SSP2,2074,470.814912736416
SSP3,2074,526.652045369148
SSP5,2074,587.239097058773
SSP1,2075,416.364619612694
SSP2,2075,475.14256811142
SSP3,2075,533.45665127039
SSP5,2075,594.249693393707
SSP1,2076,417.604389131069
SSP2,2076,479.609224557877
SSP3,2076,540.247999191284
SSP5,2076,601.2324655056
SSP1,2077,418.836472272873
SSP2,2077,484.066049218178
SSP3,2077,547.020366549492
SSP5,2077,608.248915910721
SSP1,2078,420.062403559685
SSP2,2078,488.505480766296
SSP3,2078,553.730053663254
SSP5,2078,615.240078568459
SSP1,2079,421.288892149925
SSP2,2079,492.938718795776
SSP3,2079,560.403747797012
SSP5,2079,622.221586346626
SSP1,2080,422.515422582626
SSP2,2080,497.410402357578
SSP3,2080,567.031061351299
SSP5,2080,629.223034143448
SSP1,2081,422.43416929245
SSP2,2081,500.037360548973
SSP3,2081,573.667044758797
SSP5,2081,637.295332551003
SSP1,2082,422.353487014771
SSP2,2082,502.62300658226
SSP3,2082,580.315495848656
SSP5,2082,644.454682469368
SSP1,2083,422.280335187912
SSP2,2083,505.196140170097
SSP3,2083,586.904750347138
SSP5,2083,651.268998920918
SSP1,2084,422.219993710518
SSP2,2084,507.732028484345
SSP3,2084,593.301558732987
SSP5,2084,657.5648701787
SSP1,2085,422.163002371788
SSP2,2085,510.259278893471
SSP3,2085,599.448374509812
SSP5,2085,663.046933174133
SSP1,2086,422.11142706871
SSP2,2086,512.800861299038
SSP3,2086,605.235421538353
SSP5,2086,667.923018395901
SSP1,2087,422.061625957489
SSP2,2087,515.335566282272
SSP3,2087,610.90883564949
SSP5,2087,672.328423380852
SSP1,2088,422.016698360443
SSP2,2088,517.847838819027
SSP3,2088,616.485535025597
SSP5,2088,676.470779955387
SSP1,2089,421.967443466187
SSP2,2089,520.334746956825
SSP3,2089,621.865213871002
SSP5,2089,680.427366256714
SSP1,2090,421.91715323925
SSP2,2090,522.812512040138
SSP3,2090,627.092966079712
SSP5,2090,684.438220858574
SSP1,2091,421.870989918709
SSP2,2091,525.275116026402
SSP3,2091,632.301066994667
SSP5,2091,688.331779837608
SSP1,2092,421.83062338829
SSP2,2092,527.724861681461
SSP3,2092,637.475169301033
SSP5,2092,692.169907093048
SSP1,2093,421.790695548058
SSP2,2093,530.142070293427
SSP3,2093,642.16941177845
SSP5,2093,696.206539988518
SSP1,2094,421.754084706306
SSP2,2094,532.565681993961
SSP3,2094,646.967114448547
SSP5,2094,700.463698387146
SSP1,2095,421.722935557365
SSP2,2095,534.980132341385
SSP3,2095,651.676708161831
SSP5,2095,704.754960536957
SSP1,2096,421.688398122788
SSP2,2096,537.384454369545
SSP3,2096,656.251545786858
SSP5,2096,709.008426547051
SSP1,2097,421.660869777203
SSP2,2097,539.806774675846
SSP3,2097,660.772990107536
SSP5,2097,713.064348578453
SSP1,2098,421.643780052662
SSP2,2098,542.21969306469
SSP3,2098,665.163258910179
SSP5,2098,716.76405608654
SSP1,2099,421.631098985672
SSP2,2099,544.607404589653
SSP3,2099,669.334481716156
SSP5,2099,719.795418202877
SSP1,2100,421.619402527809
SSP2,2100,546.972197771072
SSP3,2100,673.422629833222
SSP5,2100,722.456023454666
